
Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
WildCard,Sat,January 12,boxscore,Philadelphia Eagles,,Tampa Bay Buccaneers,31,9,334,1,258,4
WildCard,Sat,January 12,boxscore,Oakland Raiders,,New York Jets,38,24,502,0,410,2
WildCard,Sun,January 13,boxscore,Baltimore Ravens,@,Miami Dolphins,20,3,347,1,151,3
WildCard,Sun,January 13,boxscore,Green Bay Packers,,San Francisco 49ers,25,15,368,1,290,2
Division,Sat,January 19,boxscore,Philadelphia Eagles,@,Chicago Bears,33,19,336,1,184,4
Division,Sat,January 19,boxscore,New England Patriots,,Oakland Raiders,16,13,365,1,230,0
Division,Sun,January 20,boxscore,Pittsburgh Steelers,,Baltimore Ravens,27,10,297,1,150,4
Division,Sun,January 20,boxscore,St. Louis Rams,,Green Bay Packers,45,17,292,1,383,8
ConfChamp,Sun,January 27,boxscore,New England Patriots,@,Pittsburgh Steelers,24,17,259,0,306,4
ConfChamp,Sun,January 27,boxscore,St. Louis Rams,,Philadelphia Eagles,29,24,371,0,256,2
SuperBowl,Sun,February 3,boxscore,New England Patriots,N,St. Louis Rams,20,17,267,0,427,3
Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
1,Thu,September 5,boxscore,San Francisco 49ers,@,New York Giants,16,13,279,1,361,3
1,Sun,September 8,boxscore,Chicago Bears,,Minnesota Vikings,27,23,368,2,368,3
1,Sun,September 8,boxscore,New Orleans Saints,@,Tampa Bay Buccaneers,26,20,368,1,333,1
1,Sun,September 8,boxscore,New York Jets,@,Buffalo Bills,37,31,266,1,384,3
1,Sun,September 8,boxscore,Washington Redskins,,Arizona Cardinals,31,23,442,1,257,1
1,Sun,September 8,boxscore,Tennessee Titans,,Philadelphia Eagles,27,24,328,4,261,3
1,Sun,September 8,boxscore,Indianapolis Colts,@,Jacksonville Jaguars,28,25,307,2,343,2
1,Sun,September 8,boxscore,Kansas City Chiefs,@,Cleveland Browns,40,39,470,1,411,1
1,Sun,September 8,boxscore,Oakland Raiders,,Seattle Seahawks,31,17,423,2,186,0
1,Sun,September 8,boxscore,San Diego Chargers,@,Cincinnati Bengals,34,6,401,0,203,1
1,Sun,September 8,boxscore,Carolina Panthers,,Baltimore Ravens,10,7,265,0,289,1
