Player,Opp,Team,Pos,GameTime,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,FFPts
Dylan Thompson,@SF,LAR,QB,Mon 10:20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Garrett Grayson,Oak,NOR,QB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jared Goff,@SF,LAR,QB,Mon 10:20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian Hackenberg,Cin,NYJ,QB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cody Kessler,@Phi,CLE,QB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Connor Cook,@NO,OAK,QB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cardale Jones,@Bal,BUF,QB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin Hogan,SD,KAN,QB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nate Sudfeld,Pit,WAS,QB,Mon 7:10,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jake Rudock,@Ind,DET,QB,Sun 4:25,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Allen,GB,JAC,QB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeff Driskel,@NYJ,CIN,QB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Doughty,@Sea,MIA,QB,Sun 4:05,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taylor Heinicke*,@Ten,MIN,QB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stephen Morris,Det,IND,QB,Sun 4:25,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Todd Gurley,@SF,LAR,RB,Mon 10:20,0/0,0.0,0.0,0.0,20.6,91.7,0.8,2.5,21.1,0.1,16.1
Adrian Peterson,@Ten,MIN,RB,Sun 1:00,0/0,0.0,0.0,0.0,20.0,91.4,0.7,1.9,15.5,0.0,13.8
Lamar Miller,Chi,HOU,RB,Sun 1:00,0/0,0.0,0.0,0.0,18.7,82.0,0.5,2.7,20.6,0.1,13.5
DeAngelo Williams,@Wsh,PIT,RB,Mon 7:10,0/0,0.0,0.0,0.0,17.3,83.7,0.5,3.0,22.2,0.1,13.2
LeSean McCoy,@Bal,BUF,RB,Sun 1:00,0/0,0.0,0.0,0.0,16.7,72.1,0.6,2.7,20.0,0.1,13.1
Ezekiel Elliott,NYG,DAL,RB,Sun 4:25,0/0,0.0,0.0,0.0,16.0,71.9,0.5,2.6,21.8,0.1,12.4
Devonta Freeman,TB,ATL,RB,Sun 1:00,0/0,0.0,0.0,0.0,15.8,59.3,0.5,4.2,34.5,0.2,12.0
Mark Ingram,Oak,NOR,RB,Sun 1:00,0/0,0.0,0.0,0.0,15.1,63.2,0.6,3.2,21.5,0.1,12.0
David Johnson,NE,ARI,RB,Sun 8:30,0/0,0.0,0.0,0.0,14.4,58.4,0.4,3.9,35.5,0.2,11.4
Ryan Mathews,Cle,PHI,RB,Sun 1:00,0/0,0.0,0.0,0.0,14.6,71.0,0.5,1.4,11.4,0.0,10.8
Doug Martin,@Atl,TAM,RB,Sun 1:00,0/0,0.0,0.0,0.0,17.2,78.3,0.4,2.1,16.2,0.1,10.8
Carlos Hyde,LA,SFO,RB,Mon 10:20,0/0,0.0,0.0,0.0,17.7,69.2,0.5,2.0,14.0,0.1,10.3
Spencer Ware,SD,KAN,RB,Sun 1:00,0/0,0.0,0.0,0.0,12.8,60.3,0.6,1.2,9.2,0.0,9.9
DeMarco Murray,Min,TEN,RB,Sun 1:00,0/0,0.0,0.0,0.0,15.0,66.3,0.5,1.8,13.5,0.0,9.9
Frank Gore,Det,IND,RB,Sun 4:25,0/0,0.0,0.0,0.0,14.5,60.3,0.4,2.0,17.6,0.1,9.9
Latavius Murray,@NO,OAK,RB,Sun 1:00,0/0,0.0,0.0,0.0,14.1,66.6,0.4,2.3,18.0,0.1,9.8
C.J. Anderson,Car,DEN,RB,Thu 8:30,0/0,0.0,0.0,0.0,13.9,60.2,0.4,1.6,11.6,0.0,9.5
Jeremy Langford,@Hou,CHI,RB,Sun 1:00,0/0,0.0,0.0,0.0,15.7,61.0,0.4,2.4,19.6,0.1,9.4
Matt Forte,Cin,NYJ,RB,Sun 1:00,0/0,0.0,0.0,0.0,13.4,56.9,0.3,3.2,24.5,0.1,9.1
Eddie Lacy,@Jax,GNB,RB,Sun 1:00,0/0,0.0,0.0,0.0,14.4,59.9,0.4,1.9,15.5,0.1,8.7
Christine Michael,Mia,SEA,RB,Sun 4:05,0/0,0.0,0.0,0.0,13.8,60.4,0.4,1.0,8.7,0.1,8.6
Rashad Jennings,@Dal,NYG,RB,Sun 4:25,0/0,0.0,0.0,0.0,13.0,56.8,0.3,2.1,17.0,0.1,8.4
Ameer Abdullah,@Ind,DET,RB,Sun 4:25,0/0,0.0,0.0,0.0,12.4,55.5,0.3,2.4,19.8,0.1,8.2
Justin Forsett,Buf,BAL,RB,Sun 1:00,0/0,0.0,0.0,0.0,11.6,54.2,0.3,1.6,10.2,0.0,8.0
Jeremy Hill,@NYJ,CIN,RB,Sun 1:00,0/0,0.0,0.0,0.0,14.0,51.7,0.4,1.2,8.5,0.0,7.4
Jonathan Stewart,@Den,CAR,RB,Thu 8:30,0/0,0.0,0.0,0.0,14.4,55.5,0.3,1.2,7.9,0.0,7.0
Melvin Gordon,@KC,SDG,RB,Sun 1:00,0/0,0.0,0.0,0.0,13.9,55.2,0.2,2.2,13.6,0.1,7.0
Isaiah Crowell,@Phi,CLE,RB,Sun 1:00,0/0,0.0,0.0,0.0,12.2,50.5,0.3,1.0,7.7,0.0,7.0
Theo Riddick,@Ind,DET,RB,Sun 4:25,0/0,0.0,0.0,0.0,3.9,16.6,0.1,4.4,40.2,0.2,6.9
Danny Woodhead,@KC,SDG,RB,Sun 1:00,0/0,0.0,0.0,0.0,6.1,25.3,0.1,4.5,38.4,0.2,6.9
Giovani Bernard,@NYJ,CIN,RB,Sun 1:00,0/0,0.0,0.0,0.0,9.3,35.9,0.2,3.1,24.4,0.1,6.7
Charcandrick West,SD,KAN,RB,Sun 1:00,0/0,0.0,0.0,0.0,8.3,35.9,0.4,1.9,16.1,0.1,6.7
Matt Jones,Pit,WAS,RB,Mon 7:10,0/0,0.0,0.0,0.0,11.3,45.1,0.3,1.4,14.0,0.1,6.6
LeGarrette Blount,@Ari,NWE,RB,Sun 8:30,0/0,0.0,0.0,0.0,13.6,56.5,0.3,0.3,1.9,0.0,6.6
Duke Johnson Jr.,@Phi,CLE,RB,Sun 1:00,0/0,0.0,0.0,0.0,8.1,33.7,0.2,3.1,25.6,0.1,6.6
Charles Sims,@Atl,TAM,RB,Sun 1:00,0/0,0.0,0.0,0.0,6.8,28.8,0.1,3.5,30.1,0.1,6.4
Derrick Henry,Min,TEN,RB,Sun 1:00,0/0,0.0,0.0,0.0,9.1,39.0,0.4,1.3,10.4,0.0,6.2
Tevin Coleman,TB,ATL,RB,Sun 1:00,0/0,0.0,0.0,0.0,8.4,33.3,0.3,1.4,10.7,0.0,6.0
Chris Ivory,GB,JAC,RB,Sun 1:00,0/0,0.0,0.0,0.0,10.4,46.5,0.3,1.3,8.9,0.0,5.9
Darren Sproles,Cle,PHI,RB,Sun 1:00,0/0,0.0,0.0,0.0,5.0,24.6,0.2,2.8,26.2,0.1,5.9
Shane Vereen,@Dal,NYG,RB,Sun 4:25,0/0,0.0,0.0,0.0,4.0,17.4,0.1,3.3,30.2,0.2,5.7
Terrance West,Buf,BAL,RB,Sun 1:00,0/0,0.0,0.0,0.0,10.0,42.2,0.3,1.1,7.3,0.0,5.6
T.J. Yeldon,GB,JAC,RB,Sun 1:00,0/0,0.0,0.0,0.0,8.7,36.8,0.2,2.3,17.2,0.1,5.5
Arian Foster,@Sea,MIA,RB,Sun 4:05,0/0,0.0,0.0,0.0,8.9,33.0,0.2,2.3,16.6,0.1,5.3
Bilal Powell,Cin,NYJ,RB,Sun 1:00,0/0,0.0,0.0,0.0,8.5,36.0,0.2,2.5,17.7,0.1,5.3
James Starks,@Jax,GNB,RB,Sun 1:00,0/0,0.0,0.0,0.0,7.6,31.2,0.2,1.3,10.6,0.1,5.2
James White,@Ari,NWE,RB,Sun 8:30,0/0,0.0,0.0,0.0,2.8,10.9,0.1,3.4,30.5,0.1,5.0
Devontae Booker,Car,DEN,RB,Thu 8:30,0/0,0.0,0.0,0.0,8.4,33.5,0.3,1.4,9.9,0.0,4.6
Thomas Rawls,Mia,SEA,RB,Sun 4:05,0/0,0.0,0.0,0.0,7.4,35.5,0.2,0.6,5.3,0.0,4.6
Jerick McKinnon,@Ten,MIN,RB,Sun 1:00,0/0,0.0,0.0,0.0,5.1,23.0,0.1,2.3,18.7,0.1,4.2
Shaun Draughn,LA,SFO,RB,Mon 10:20,0/0,0.0,0.0,0.0,6.0,22.2,0.1,2.5,18.1,0.1,4.2
C.J. Spiller,Oak,NOR,RB,Sun 1:00,0/0,0.0,0.0,0.0,3.3,14.1,0.1,2.9,21.3,0.1,4.1
DeAndre Washington,@NO,OAK,RB,Sun 1:00,0/0,0.0,0.0,0.0,5.0,22.5,0.1,1.7,15.9,0.1,4.1
Ka'Deem Carey,@Hou,CHI,RB,Sun 1:00,0/0,0.0,0.0,0.0,6.6,26.5,0.1,1.5,10.4,0.0,4.0
Chris Thompson,Pit,WAS,RB,Mon 7:10,0/0,0.0,0.0,0.0,2.9,13.0,0.1,2.8,23.6,0.1,4.0
C.J. Prosise,Mia,SEA,RB,Sun 4:05,0/0,0.0,0.0,0.0,4.6,19.8,0.2,1.7,14.9,0.1,3.3
Orleans Darkwa,@Dal,NYG,RB,Sun 4:25,0/0,0.0,0.0,0.0,5.8,24.5,0.2,0.3,2.2,0.0,3.0
Robert Kelley,Pit,WAS,RB,Mon 7:10,0/0,0.0,0.0,0.0,6.9,27.6,0.2,0.3,2.2,0.0,3.0
Alfred Morris,NYG,DAL,RB,Sun 4:25,0/0,0.0,0.0,0.0,6.0,25.9,0.1,0.2,1.8,0.0,2.9
Jay Ajayi,@Sea,MIA,RB,Sun 4:05,0/0,0.0,0.0,0.0,5.7,20.0,0.1,1.4,9.4,0.0,2.8
Chris Johnson,NE,ARI,RB,Sun 8:30,0/0,0.0,0.0,0.0,5.8,24.0,0.1,0.1,1.0,0.0,2.8
Javorius Allen,Buf,BAL,RB,Sun 1:00,0/0,0.0,0.0,0.0,2.6,10.9,0.1,1.9,13.8,0.1,2.8
Benjamin Cunningham,@SF,LAR,RB,Mon 10:20,0/0,0.0,0.0,0.0,2.6,10.9,0.1,1.5,13.6,0.0,2.7
Tim Hightower,Oak,NOR,RB,Sun 1:00,0/0,0.0,0.0,0.0,4.5,17.8,0.2,0.6,4.4,0.0,2.1
Reggie Bush,@Bal,BUF,RB,Sun 1:00,0/0,0.0,0.0,0.0,4.3,17.9,0.1,1.0,7.5,0.0,2.0
Tyler Ervin,Chi,HOU,RB,Sun 1:00,0/0,0.0,0.0,0.0,3.7,15.0,0.1,0.8,5.9,0.0,1.9
Fitzgerald Toussaint,@Wsh,PIT,RB,Mon 7:10,0/0,0.0,0.0,0.0,4.3,17.9,0.1,1.2,8.9,0.0,1.9
