Year,Week,Day,Date,Winner,At,Loser,PtsW,PtsL,YdsW,TOW,YdsL,TOL,Home,Away,WeekLabel,GameID
2001,15,Sat,2001-12-22,SFO,,PHI,13,3,244,0,292,1,SFO,PHI,15,SFO-PHI-2001-15
2001,15,Sat,2001-12-22,TEN,@,OAK,13,10,262,2,311,1,OAK,TEN,15,OAK-TEN-2001-15
2001,15,Sun,2001-12-23,NYG,,SEA,27,24,420,2,259,2,NYG,SEA,15,NYG-SEA-2001-15
2001,15,Sun,2001-12-23,KAN,,SDG,20,17,323,2,329,0,KAN,SDG,15,KAN-SDG-2001-15
2001,15,Sun,2001-12-23,LAR,@,CAR,38,32,412,3,402,1,CAR,LAR,15,CAR-LAR-2001-15
2001,15,Sun,2001-12-23,CHI,@,WAS,20,15,237,1,293,2,WAS,CHI,15,WAS-CHI-2001-15
2001,15,Sun,2001-12-23,TAM,,NOR,48,21,364,0,271,4,TAM,NOR,15,TAM-NOR-2001-15
2001,15,Sun,2001-12-23,NYJ,@,IND,29,28,451,2,393,2,IND,NYJ,15,IND-NYJ-2001-15
2001,15,Sun,2001-12-23,JAC,@,MIN,33,3,423,0,214,2,MIN,JAC,15,MIN-JAC-2001-15
2001,15,Sun,2001-12-23,PIT,,DET,47,14,429,0,151,3,PIT,DET,15,PIT-DET-2001-15
2001,15,Sun,2001-12-23,ARI,,DAL,17,10,209,0,343,3,ARI,DAL,15,ARI-DAL-2001-15
2001,15,Sun,2001-12-23,GNB,,CLE,30,7,361,1,337,5,GNB,CLE,15,GNB-CLE-2001-15
2001,15,Sun,2001-12-23,BAL,,CIN,16,0,305,1,281,4,BAL,CIN,15,BAL-CIN-2001-15
2001,15,Sun,2001-12-23,ATL,,BUF,33,30,489,2,398,0,ATL,BUF,15,ATL-BUF-2001-15
2001,16,Sat,2001-12-29,TAM,,BAL,22,10,213,0,257,3,TAM,BAL,16,TAM-BAL-2001-16
2001,16,Sun,2001-12-30,WAS,@,NOR,40,10,263,1,213,4,NOR,WAS,16,NOR-WAS-2001-16
2001,16,Sun,2001-12-30,DAL,,SFO,27,21,420,0,285,1,DAL,SFO,16,DAL-SFO-2001-16
2001,16,Sun,2001-12-30,DEN,,OAK,23,17,231,0,334,3,DEN,OAK,16,DEN-OAK-2001-16
2001,16,Sun,2001-12-30,CIN,,PIT,26,23,544,3,313,5,CIN,PIT,16,CIN-PIT-2001-16
2001,16,Sun,2001-12-30,PHI,,NYG,24,21,361,2,420,1,PHI,NYG,16,PHI-NYG-2001-16
2001,16,Sun,2001-12-30,GNB,,MIN,24,13,213,1,302,3,GNB,MIN,16,GNB-MIN-2001-16
2001,16,Sun,2001-12-30,KAN,@,JAC,30,26,365,4,431,3,JAC,KAN,16,JAC-KAN-2001-16
