Rk,Player,Team,Pos,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,FFPts
90,Fitzgerald Toussaint,PIT,RB,0/0,0,0,0,26,106.2,0.7,7.1,53.3,0.3,20.4
91,Jonathan Williams,BUF,RB,0/0,0,0,0,9.2,34.9,0.3,0,0,0,4.7
92,George Atkinson III,CLE,RB,0/0,0,0,0,14.9,58.8,0.5,1.9,14,0.1,8.8
93,Jalen Richard,OAK,RB,0/0,0,0,0,18.8,75.2,0.5,2.6,19,0.1,11.1
94,Mike Tolbert,CAR,RB,0/0,0,0,0,47.4,182.5,1.9,15.5,125.9,0.9,45.8
95,Jonathan Grimes,HOU,RB,0/0,0,0,0,10.8,42.6,0.3,8.3,61.6,0.2,13.1
96,Dwayne Washington,DET,RB,0/0,0,0,0,8.9,35.4,0.3,4.6,35.1,0.1,8.2
97,Darren McFadden*,DAL,RB,0/0,0,0,0,8.1,32.3,0.2,2.5,18.9,0.1,5.8
98,Alex Collins,SEA,RB,0/0,0,0,0,9.1,35,0.2,0,0,0,4.3
99,Matt Asiata,MIN,RB,0/0,0,0,0,13.2,51,0.7,11.1,83.8,0.3,18.5
100,Steven Jackson,NWE,RB,0/0,0,0,0,0,0,0,0,0,0,0
101,John Kuhn,NOR,RB,0/0,0,0,0,7.8,25,0.5,2.4,17.8,0.2,6.7
102,Fred Jackson,SEA,RB,0/0,0,0,0,0,0,0,0,0,0,0
103,Marshawn Lynch,SEA,RB,0/0,0,0,0,0,0,0,0,0,0,0
104,Ahmad Bradshaw,IND,RB,0/0,0,0,0,0,0,0,0,0,0,0
105,Pierre Thomas,WAS,RB,0/0,0,0,0,0,0,0,0,0,0,0
106,Ray Rice,FA,RB,0/0,0,0,0,0,0,0,0,0,0,0
107,Jerome Felton,BUF,RB,0/0,0,0,0,0,0,0,0,0,0,0
108,Marcel Reece,OAK,RB,0/0,0,0,0,8.4,27.6,0.3,11.8,85.3,0.8,16.8
109,Donald Brown,NWE,RB,0/0,0,0,0,0,0,0,0,0,0,0
110,Jorvorskie Lane,TAM,RB,0/0,0,0,0,0,0,0,0,0,0,0
111,Knowshon Moreno,FA,RB,0/0,0,0,0,0,0,0,0,0,0,0
112,Cedric Peerman*,CIN,RB,0/0,0,0,0,0,0,0,0,0,0,0
113,Marcus Thigpen,BUF,RB,0/0,0,0,0,0,0,0,0,0,0,0
114,Darrel Young,CHI,RB,0/0,0,0,0,0,0,0,0,0,0,0
115,Antone Smith,NYJ,RB,0/0,0,0,0,0,0,0,0,0,0,0
116,Dexter McCluster,TEN,RB,0/0,0,0,0,0,0,0,0,0,0,0
117,Ben Tate,PIT,RB,0/0,0,0,0,0,0,0,0,0,0,0
118,Toby Gerhart,JAC,RB,0/0,0,0,0,0,0,0,0,0,0,0
119,Boobie Dixon,BUF,RB,0/0,0,0,0,0,0,0,0,0,0,0
120,Joique Bell,DET,RB,0/0,0,0,0,0,0,0,0,0,0,0
121,James Develin,NWE,RB,0/0,0,0,0,8,25.8,0.4,4.3,31.8,0.3,9.2
122,Tyler Clutts,DAL,RB,0/0,0,0,0,0,0,0,0,0,0,0
123,Stevan Ridley,IND,RB,0/0,0,0,0,0,0,0,0,0,0,0
124,Ryan Williams,DAL,RB,0/0,0,0,0,0,0,0,0,0,0,0
125,Daniel Thomas,MIA,RB,0/0,0,0,0,0,0,0,0,0,0,0
126,Anthony Sherman,KAN,RB,0/0,0,0,0,0,0,0,4.1,30.1,0.2,4.1
127,Kendall Hunter,NOR,RB,0/0,0,0,0,0,0,0,0,0,0,0
128,Taiwan Jones,OAK,RB,0/0,0,0,0,3.8,14.7,0.1,2.6,19,0.1,3.6
129,Jordan Todman,IND,RB,0/0,0,0,0,21.3,87.8,0.5,4.4,32.3,0.2,15.3
130,Roy Helu Jr.*,OAK,RB,0/0,0,0,0,0,0,0,0,0,0,0
131,Jacquizz Rodgers,CHI,RB,0/0,0,0,0,0,0,0,0,0,0,0
132,DuJuan Harris,SFO,RB,0/0,0,0,0,0,0,0,4.2,30.6,0.1,3.5
133,Patrick DiMarco,ATL,RB,0/0,0,0,0,1.9,6.3,0.1,9.1,66.2,0.4,9.1
134,Chase Reynolds,LAR,RB,0/0,0,0,0,4.3,16.2,0.1,0,0,0,1.7
135,Will Johnson*,NYG,RB,0/0,0,0,0,0,0,0,0,0,0,0
136,Trent Richardson,BAL,RB,0/0,0,0,0,0,0,0,0,0,0,0
137,Isaiah Pead,MIA,RB,0/0,0,0,0,18.4,76.2,0.5,6.4,46,0.2,14.9
138,Chris Polk,HOU,RB,0/0,0,0,0,0,0,0,0,0,0,0
139,LaMike James,MIA,RB,0/0,0,0,0,0,0,0,0,0,0,0
140,Bernard Pierce,NYJ,RB,0/0,0,0,0,0,0,0,0,0,0,0
141,Ronnie Hillman,DEN,RB,0/0,0,0,0,0,0,0,0,0,0,0
142,Cyrus Gray,ATL,RB,0/0,0,0,0,0,0,0,0,0,0,0
143,Vick Ballard,NOR,RB,0/0,0,0,0,0,0,0,0,0,0,0
144,Daniel Herron,BUF,RB,0/0,0,0,0,0,0,0,0,0,0,0
145,Bryce Brown,SEA,RB,0/0,0,0,0,0,0,0,0,0,0,0
146,Daryl Richardson,PIT,RB,0/0,0,0,0,2.2,8.8,0.1,0,0,0,0.3
147,Cory Harkey,LAR,RB,0/0,0,0,0,0,0,0,6.5,49.6,0.3,5.5
148,Joe Banyard,JAC,RB,0/0,0,0,0,0,0,0,0,0,0,0
149,Derrick Coleman,SEA,RB,0/0,0,0,0,0,0,0,0,0,0,0
